subID,alpha,theta,gamma,w,delta,nll
0,1.0,0.81,0.18,0.07,0.48,0.6416666666666666
1,0.08,0.8,0.4,0.46,0.01,4.033333333333333
2,0.31,1.0,0.71,0.48,-0.01,2.175
3,0.49,0.8,0.71,0.47,0.15,5.158333333333333
4,0.04,0.54,0.62,0.36,-0.1,4.44774011299435
5,0.03,0.99,0.85,-0.84,-0.1,6.401694915254238
6,0.16,0.95,0.85,0.68,-1.0,1.2
7,0.25,0.64,0.06,0.97,-0.4,2.8166666666666664
8,0.16,0.86,1.0,-0.16,0.16,2.7416666666666667
9,0.0,0.68,0.61,-0.22,-0.02,2.8833333333333333
10,0.49,0.83,0.82,0.76,-0.03,1.6333333333333333
11,0.27,1.23,0.98,0.41,-0.5,3.1416666666666666
12,0.99,1.48,0.44,0.78,0.0,5.816666666666666
13,0.62,0.77,0.83,0.3,-0.11,2.591666666666667
14,0.93,0.88,0.49,-0.08,-0.03,6.45
15,0.09,0.46,0.54,0.26,0.17,4.633771929824562
16,0.01,1.12,0.7,-0.56,-0.02,8.383333333333333
17,0.04,0.62,0.32,-0.36,0.0,3.4749999999999996
18,0.0,0.68,0.27,0.59,-0.02,10.096327683615819
19,0.85,1.1,0.7,0.78,0.19,2.841666666666667
20,0.02,0.68,0.7,-0.04,0.18,3.9333333333333336
21,0.62,1.1,0.0,0.89,-0.12,1.9583333333333333
22,0.05,0.51,0.48,-0.16,0.0,5.449999999999999
23,0.16,1.28,0.7,0.49,0.04,1.325
24,0.11,1.5,0.01,-1.0,-0.03,0.5416666666666667
25,0.29,0.52,0.12,-0.12,0.0,3.35
26,0.03,0.43,0.36,0.9,-0.2,0.7333333333333334
27,0.9,0.62,0.64,0.65,-0.03,0.7083333333333333
28,0.31,1.4,0.86,-0.48,-0.02,2.2
29,0.02,0.56,0.64,0.43,-0.02,2.2666666666666666
30,0.17,0.72,0.88,-0.42,-0.18,4.716666666666667
31,0.32,0.77,0.72,0.08,0.02,7.416666666666667
32,0.1,0.72,0.3,-0.36,0.0,3.4976190476190476
33,0.12,0.52,0.16,-0.31,-0.02,0.6333333333333333
34,0.07,0.69,0.45,0.28,-0.03,12.886206896551723
35,0.28,0.8,0.84,0.08,0.15,1.7892655367231638
36,0.04,1.15,0.04,0.7,0.0,3.5956521739130434
37,0.01,0.69,0.56,-0.12,-0.06,13.831214689265536
38,0.28,0.59,0.63,0.11,-0.22,9.649999999999999
39,0.19,0.92,0.83,0.63,-0.25,2.3139830508474577
40,0.04,0.74,0.63,0.3,0.0,6.6
41,0.03,0.52,0.7,0.08,-0.02,1.3583333333333334
42,0.09,0.48,0.7,0.48,-0.08,0.7083333333333333
43,0.76,0.88,0.73,0.72,0.28,1.4033898305084747
44,1.0,0.76,0.4,0.83,-0.24,3.291666666666667
45,0.02,1.29,0.8,0.44,0.11,7.491666666666666
46,0.94,1.02,0.05,0.94,0.22,16.766666666666666
47,0.91,0.65,0.64,0.08,0.02,5.091242937853107
48,0.0,1.13,0.68,-0.55,0.02,0.4214689265536723
49,0.22,0.5,0.57,-0.09,0.06,2.1923728813559324
50,0.16,0.51,0.34,0.04,-0.02,4.096264367816092
51,0.21,0.8,0.86,0.5,0.0,2.0583333333333336
52,0.61,0.52,0.17,-0.22,-0.02,6.975
53,0.17,0.64,0.76,0.28,-0.32,0.8570621468926554
54,1.0,0.54,0.55,0.45,-0.02,6.314814814814815
55,0.57,0.86,0.8,-0.12,-0.08,1.2088652482269504
56,0.16,0.61,0.24,0.92,0.15,10.125706214689266
57,0.85,1.1,0.78,-0.08,-0.12,4.55
58,0.21,1.42,0.32,0.11,-0.17,8.36228813559322
59,0.12,1.12,0.72,-0.47,0.02,5.683333333333334
60,0.28,0.87,0.83,1.0,-0.31,0.9666666666666667
61,0.01,0.68,0.36,0.62,-0.27,2.242105263157895
62,0.01,0.88,0.64,0.36,0.19,13.4
63,0.08,1.08,0.84,0.52,0.08,2.1333333333333333
64,0.25,0.9,0.85,0.05,-0.39,1.0583333333333333
65,0.01,0.56,0.42,-0.01,0.13,3.9833333333333334
66,0.56,0.96,0.77,0.36,-0.07,3.5666666666666664
67,0.63,1.04,0.69,0.2,0.01,1.2916666666666667
68,0.18,0.51,0.36,0.31,0.09,0.9166666666666667
69,0.46,0.3,0.98,0.95,-0.2,2.558333333333333
70,0.22,0.75,0.76,0.35,-0.52,1.675
71,0.33,0.52,0.8,0.88,0.16,1.775
72,0.18,0.85,0.98,0.08,0.04,3.282758620689655
73,0.04,0.6,0.68,0.2,0.0,3.6562146892655365
74,0.01,0.68,0.57,0.28,-0.29,1.5083333333333333
75,0.01,0.7,0.13,0.54,0.01,4.366101694915254
76,0.1,0.89,0.36,-0.69,-0.02,7.008333333333333
77,0.08,1.44,0.09,-0.97,0.06,2.793859649122807
78,0.42,0.86,0.47,-0.38,-0.06,2.75
79,0.02,0.68,0.12,0.6,0.09,3.0588983050847456
80,0.1,0.78,0.86,0.09,0.01,5.308333333333334
81,0.01,1.15,1.0,-0.86,-0.55,3.4637005649717514
82,0.0,0.88,0.52,0.8,-0.19,8.133333333333333
83,0.13,1.12,0.85,0.4,0.73,2.8
84,0.24,0.64,1.0,0.7,-0.9,7.782456140350877
85,0.09,1.25,0.3,0.32,-0.02,6.228672316384181
86,0.54,1.42,0.62,0.12,0.88,0.7749999999999999
87,0.32,1.05,0.75,0.42,-0.16,1.875
88,0.43,1.27,0.4,0.48,0.3,4.908333333333333
89,0.08,0.74,0.0,0.52,-0.18,6.591666666666667
90,0.1,0.48,0.23,-0.28,-0.02,0.6590136054421769
91,0.02,0.7,0.87,0.08,0.04,6.418181818181818
92,0.0,1.13,0.93,0.64,-0.04,3.791025641025641
93,0.0,0.88,0.64,0.88,0.16,2.733908045977011
94,0.14,0.88,0.84,0.68,0.27,1.8166666666666667
95,0.48,0.4,0.99,0.93,-0.12,4.433333333333334
96,0.74,0.48,0.87,0.2,-0.04,6.448728813559322
97,0.0,0.88,0.44,0.33,0.07,5.6549435028248585
98,0.29,0.88,0.83,0.71,0.06,2.4916666666666667
99,0.02,0.63,0.31,0.28,0.01,4.186320754716981
100,0.1,0.51,0.26,-0.34,0.06,1.3666666666666667
101,0.03,0.57,0.52,0.07,0.22,10.316666666666666
102,0.31,1.06,0.56,0.68,-0.03,3.891666666666667
103,0.01,0.68,0.49,0.98,0.17,2.543103448275862
104,0.88,1.47,0.11,0.8,-0.2,2.175
105,0.0,1.13,0.61,0.68,-0.38,3.841666666666667
106,0.92,0.56,0.08,0.3,-0.04,2.908333333333333
107,0.83,1.06,0.52,-0.32,-0.1,5.3656779661016945
108,0.21,1.49,0.64,-1.0,0.0,0.20476190476190476
109,0.09,0.59,0.19,0.3,-0.02,0.875
110,0.28,0.75,0.62,0.65,-0.07,7.866666666666666
111,0.31,0.88,0.6,0.66,0.34,0.95
112,0.88,1.48,0.2,-0.43,-0.02,1.4416666666666667
113,0.64,0.88,0.8,-0.37,-0.04,4.416666666666667
114,0.0,0.68,0.94,0.39,-0.03,3.3249999999999997
115,0.36,0.31,0.99,0.88,-0.07,3.350706214689265
116,0.37,0.57,0.79,0.89,-0.22,0.375
117,0.18,1.21,0.82,0.6,0.16,1.6083333333333334
118,0.04,1.0,0.96,0.27,0.25,2.408333333333333
119,0.28,0.31,0.67,0.12,-0.03,0.9916666666666667
120,0.23,1.32,0.73,-0.24,-0.06,2.3916666666666666
121,0.24,0.43,0.31,0.61,-0.02,2.925
122,1.0,0.4,0.42,-0.39,-0.02,1.55
123,0.01,0.69,0.52,0.09,0.0,3.9341954022988506
124,0.0,1.13,0.86,0.5,0.52,3.4749999999999996
125,0.11,0.58,0.56,0.92,0.16,1.0916666666666668
126,0.24,0.89,0.88,0.39,0.03,2.3460526315789476
127,0.51,0.61,0.2,0.29,0.03,1.2727011494252873
128,0.49,0.24,0.98,0.99,-0.23,2.3974576271186443
129,0.0,0.68,0.52,-0.16,-0.06,4.833333333333333
130,0.52,0.92,0.98,0.95,-0.23,2.2697368421052633
131,0.12,0.72,0.0,-0.4,0.0,4.541666666666667
132,0.34,0.7,0.68,0.28,-0.52,1.5083333333333333
133,0.3,0.61,0.02,0.98,-0.2,2.108333333333333
134,0.16,0.65,0.99,0.68,0.08,0.9916666666666667
135,0.4,0.48,0.99,0.75,-1.0,2.3583333333333334
137,0.29,0.17,0.2,-0.12,-0.02,4.944047619047619
138,0.48,0.71,0.26,0.36,-0.1,6.125
139,0.13,1.08,0.64,0.88,-0.11,4.704022988505747
140,0.01,0.92,0.6,0.2,-0.01,7.070614035087719
141,0.23,0.67,0.64,0.08,0.0,4.745689655172414
142,0.71,1.14,0.7,-0.44,-1.0,0.6964689265536723
143,0.05,0.76,0.84,0.88,0.13,2.5042372881355934
144,0.91,0.13,0.48,0.5,-0.01,10.15609756097561
145,0.08,0.68,0.47,0.07,0.04,4.390819209039548
146,0.23,0.49,0.29,0.51,-0.03,2.876129943502825
147,0.09,1.13,0.71,0.48,0.18,0.8120056497175141
148,0.09,0.21,0.08,0.46,-0.02,2.1950980392156865
149,0.56,1.1,0.71,-0.19,-0.06,2.8
150,0.01,1.12,0.68,0.48,0.0,0.8333333333333333
151,0.21,0.86,0.99,0.64,-0.05,3.731779661016949
152,0.48,0.84,0.71,0.35,0.01,1.5583333333333333
153,0.37,0.45,0.98,0.84,-0.05,4.121610169491525
154,0.38,0.7,0.75,0.3,-0.07,0.9833333333333334
155,0.05,0.8,0.69,0.7,0.12,1.375
156,0.95,0.55,0.68,0.88,0.16,1.725
157,0.01,0.92,0.81,0.28,0.01,3.6
158,0.09,0.39,0.04,0.16,-0.02,3.060734463276836
159,0.26,0.48,0.97,0.89,0.12,5.308333333333334
160,0.21,0.61,0.6,0.69,-0.4,0.6166666666666667
161,0.02,0.56,0.61,0.08,-0.07,5.489942528735632
162,0.04,0.8,0.04,0.7,-0.02,4.264937106918239
163,0.19,0.8,0.84,0.28,0.07,1.375
164,0.0,0.37,0.0,0.6,0.0,3.017857142857143
165,0.87,0.72,0.17,-0.46,0.0,2.597175141242938
166,0.08,0.88,0.93,0.33,0.06,1.4583333333333335
167,0.42,0.84,0.76,0.2,0.01,1.1211864406779661
168,0.34,0.75,0.68,0.19,0.09,2.105769230769231
169,0.91,0.7,0.31,-0.25,0.01,5.766666666666667
170,0.24,0.36,0.02,0.76,-0.01,6.525
171,0.13,0.88,0.99,0.68,0.25,3.4833333333333334
172,0.71,1.01,0.53,0.88,-0.1,1.046551724137931
173,0.13,0.38,0.69,-0.04,0.15,7.89396551724138
174,0.68,0.44,0.97,0.58,0.12,4.833333333333333
175,0.04,1.07,0.79,0.9,0.37,2.75
176,0.83,0.65,0.78,0.92,-0.19,0.7550847457627119
177,0.63,0.88,0.81,0.62,-0.02,2.0
178,0.37,0.96,0.74,0.86,-0.06,2.2469298245614033
179,0.14,0.61,0.22,0.19,-0.09,2.6357142857142857
180,0.56,0.12,0.32,0.66,-0.18,3.45
181,0.01,0.37,0.43,0.1,0.02,3.284039548022599
182,0.2,0.37,0.08,0.58,-0.02,2.7333333333333334
183,0.04,0.88,0.92,0.48,0.01,7.783333333333333
184,0.02,0.67,0.32,0.45,-0.06,5.553571428571429
185,0.63,1.04,0.81,0.99,-0.2,0.525
186,0.01,0.69,0.39,0.52,-0.19,4.985310734463276
187,0.88,0.22,0.84,0.79,-0.06,1.4238505747126438
188,0.03,1.04,0.51,0.14,-0.06,3.4781609195402297
189,0.52,1.01,0.65,0.97,-0.32,2.175
190,0.71,0.09,0.08,0.48,0.33,0.9166666666666667
191,0.18,1.0,0.68,0.83,-0.12,0.9731638418079096
192,0.0,0.28,0.31,0.08,0.04,1.5698275862068967
193,0.19,0.92,0.88,0.88,0.09,3.85
194,0.03,0.53,0.58,0.49,0.13,6.358333333333333
195,0.0,0.52,0.09,0.46,0.02,2.256372549019608
196,0.98,1.48,0.0,0.78,-0.02,8.036347517730498
197,0.02,0.89,0.75,-0.12,0.56,6.936299435028248
198,0.06,0.84,0.68,0.32,-0.08,6.308333333333334
199,0.04,1.08,0.84,0.26,0.05,4.491666666666667
200,0.0,0.88,0.71,0.2,-0.11,9.014080459770115
201,0.08,0.42,0.96,0.16,0.02,7.758333333333333
202,0.71,1.11,0.26,0.44,0.17,3.200847457627119
203,0.24,0.8,0.68,-0.04,-0.12,0.06666666666666667
204,0.99,0.65,0.81,0.32,-0.04,2.033333333333333
205,0.09,0.92,0.72,0.89,0.12,1.7227272727272727
206,0.72,0.21,0.98,0.19,0.29,2.8392857142857144
207,0.58,1.42,0.69,0.78,0.32,0.65
208,0.52,0.43,0.6,0.35,0.24,0.9666666666666666
209,0.18,0.52,0.97,0.83,-0.07,3.925
210,0.01,0.54,0.63,0.33,0.0,5.134745762711864
211,0.27,1.28,0.5,-0.55,-0.02,5.6
212,0.12,0.32,0.46,-0.16,-0.02,3.1166666666666667
213,0.4,0.41,0.0,0.55,0.03,10.241666666666667
214,0.08,0.47,0.31,0.44,0.0,2.320175438596491
215,0.16,0.92,0.48,0.08,0.1,4.633333333333333
216,0.01,0.56,0.55,-0.27,-0.02,7.241666666666667
217,0.0,0.52,0.32,0.29,0.02,3.8916666666666666
218,0.32,0.68,0.85,-0.36,-0.18,2.7916666666666665
219,0.81,0.79,0.82,0.12,-0.02,1.9333333333333333
220,0.01,0.38,0.36,-0.4,0.0,0.725
221,0.62,0.34,0.13,0.94,0.02,6.194047619047619
222,0.7,0.69,0.36,0.88,0.36,6.291666666666666
223,0.76,0.63,0.78,0.68,0.45,2.4745614035087717
224,0.69,0.91,0.82,-0.43,0.01,1.7083333333333335
225,0.05,0.57,0.62,0.03,0.16,1.5666666666666667
226,0.46,1.02,0.74,0.12,-0.51,1.1711864406779662
227,0.0,0.68,0.67,0.3,0.02,5.9780303030303035
228,0.02,0.92,0.84,0.94,-0.22,2.6791666666666667
229,0.36,0.79,0.55,0.99,-0.2,2.2333333333333334
230,0.68,0.46,0.81,0.28,0.04,7.133333333333333
231,0.18,0.86,0.82,0.08,0.28,0.525
232,0.56,0.96,0.82,0.7,0.28,1.1333333333333333
233,0.17,0.6,0.74,0.4,-0.08,2.45
234,0.85,0.55,0.06,0.87,-0.08,2.4
235,0.22,1.12,0.73,0.28,0.23,1.9255649717514123
236,0.16,0.84,0.81,-0.07,0.0,9.308333333333334
237,0.18,1.48,0.97,0.52,0.16,1.9033898305084747
238,0.11,0.64,0.48,0.88,-0.32,1.3007062146892654
239,0.24,0.87,0.78,0.68,0.13,1.2
240,0.02,0.36,0.4,-0.26,0.14,1.9083333333333332
241,0.0,0.68,0.48,0.22,-0.01,5.101515151515152
242,0.7,1.44,0.7,-0.48,0.74,4.8326271186440675
243,0.08,1.12,0.39,0.24,0.04,2.2416666666666667
244,0.22,0.87,0.98,0.95,-0.18,5.283333333333333
245,0.24,0.54,0.02,0.97,-0.44,0.39999999999999997
246,0.41,0.62,0.82,0.32,0.16,1.2916666666666667
247,0.0,0.52,0.57,0.28,-0.19,1.9333333333333333
248,0.1,0.75,0.68,0.88,-0.11,5.533333333333333
249,0.04,0.83,0.7,0.36,-0.03,2.091666666666667
250,0.22,0.96,0.85,0.36,0.01,2.46
